,Unnamed: 0,Name,starName,defaultPlanetEntry,numStars,numPlanets,solution,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,bestEarthMass,bestMassProvenance,eccentricity,equilTemp,stellarEffTemp,stellarRadius,stellarMetallicity,stellarMetallicityRatio,luminosity,stellarAge,distance
308,308,CoRoT-7 b,CoRoT-7,0,1,3,Published Confirmed,0,0.85359159,0.017016,1.585,5.74,5.74,Mass,0.0,1756.0,5259.0,0.82,0.138,[Fe/H],,1.32,159.906
309,309,CoRoT-7 b,CoRoT-7,0,1,3,Published Confirmed,0,0.853585,0.017,,4.8,4.8,Mass,0.0,,5256.0,0.86,0.06,[M/H],-0.289,,159.906
314,314,CoRoT-7 c,CoRoT-7,1,1,3,Published Confirmed,0,3.698,0.046,,8.4,8.4,Mass,0.0,,5256.0,0.86,0.06,[M/H],-0.289,,159.906
318,318,CoRoT-8 b,CoRoT-8,1,1,1,Published Confirmed,0,6.21229,0.063,6.39,69.92,69.92,Mass,0.0,,5080.0,0.77,0.3,[M/H],,3.0,322.037
328,328,DE CVn b,DE CVn,1,2,1,Published Confirmed,0,4098.1,5.75,,,3823.2733,Msin(i)/sin(i),0.0,,,,,,,,30.5225
338,338,DMPP-3 A b,DMPP-3 A,0,2,1,Published Confirmed,0,6.6736,0.0662,,,2.58,Msini,0.0,854.0,,,,,,,45.23
341,341,DS Tuc A b,DS Tuc A,1,2,1,Published Confirmed,0,8.138268,,5.7,,,,0.0,850.0,5428.0,0.96,0.0,,-0.14,0.045,44.0622
344,344,EPIC 201170410.02,EPIC 201170410,1,1,1,Published Confirmed,0,6.7987,0.0349,1.047,,,,0.0,,3648.0,0.28,-0.048,[Fe/H],,,
354,354,EPIC 201757695.02,EPIC 201757695,1,1,1,Published Confirmed,0,2.0478,0.0296,0.908,,,,0.0,,4520.0,0.66,-0.003,[Fe/H],-0.364,,
399,399,EPIC 211945201 b,EPIC 211945201,0,1,1,Published Confirmed,0,19.49213,0.148,6.12,27.0,27.0,Mass,0.0,886.0,6025.0,1.38,0.1,[Fe/H],,3.99,181.69
430,430,EPIC 220674823 b,EPIC 220674823,0,1,2,Published Confirmed,0,0.571308,,1.46,,,,0.0,,5590.0,0.83,0.025,[Fe/H],-0.119,5.0,244.59
432,432,EPIC 220674823 b,EPIC 220674823,1,1,2,Published Confirmed,0,0.571292,0.01326,1.725,8.21,8.21,Mass,0.0,2300.0,5532.0,0.99,0.11,[Fe/H],,7.5,244.59
438,438,EPIC 220674823 b,EPIC 220674823,0,1,2,Published Confirmed,0,0.571292,0.0116,1.52,8.36,8.36,Mass,0.0,2333.0,5470.0,0.87,-0.025,[Fe/H],,,244.59
447,447,EPIC 220674823 c,EPIC 220674823,0,1,2,Published Confirmed,0,13.341245,,2.53,,,,0.0,,5590.0,0.83,0.025,[Fe/H],-0.119,5.0,244.59
456,456,EPIC 248847494 b,EPIC 248847494,1,1,1,Published Confirmed,0,3650.0,4.5,12.442,4131.79,4131.79,Mass,0.0,183.0,4898.0,2.7,-0.23,[Fe/H],,,551.886
464,464,G 9-40 b,G 9-40,1,1,1,Published Confirmed,0,5.746007,0.0385,2.025,11.7,11.7,Mass,0.0,456.0,3348.0,0.31,0.04,[Fe/H],-1.971,9.9,27.9276
475,475,GJ 1132 b,GJ 1132,0,1,2,Published Confirmed,0,1.62893,,1.16,1.62,1.62,Mass,0.0,409.0,3270.0,0.21,-0.12,[Fe/H],-2.359,5.0,12.613
484,484,GJ 1214 b,GJ 1214,0,1,1,Published Confirmed,0,1.58040494,,,,,,0.0,,3074.0,0.21,,,-2.431,,14.6427
488,488,GJ 1214 b,GJ 1214,0,1,1,Published Confirmed,0,1.58040465,,,,,,0.0,,3074.0,0.21,,,-2.431,,14.6427
502,502,GJ 1252 b,GJ 1252,0,1,1,Published Confirmed,0,0.5182349,0.00916,1.193,2.09,2.09,Mass,0.0,1089.0,3458.0,0.39,0.1,[Fe/H],-1.708,,20.373
509,509,GJ 15 A b,GJ 15 A,0,2,2,Published Confirmed,1,11.4433,0.0717,,,5.35,Msini,0.0,550.0,3567.0,0.39,-0.32,[Fe/H],-1.663,,3.56228
571,571,GJ 3473 b,GJ 3473,1,2,2,Published Confirmed,0,1.1980035,0.01589,1.264,1.86,1.86,Mass,0.0,773.0,3347.0,0.36,0.11,[Fe/H],-1.824,,27.3644
573,573,GJ 3473 c,GJ 3473,1,2,2,Published Confirmed,0,15.509,0.0876,,,7.41,Msini,0.0,329.0,3347.0,0.36,0.11,[Fe/H],-1.824,,27.3644
583,583,GJ 367 b,GJ 367,1,1,1,Published Confirmed,0,0.321962,0.0071,0.718,0.546,0.546,Mass,0.0,1745.0,3522.0,0.46,-0.01,[Fe/H],-1.541,,9.41263
585,585,GJ 3929 b,GJ 3929,1,1,2,Published Confirmed,0,2.616235,0.0252,1.09,1.75,1.75,Mass,0.0,568.0,3384.0,0.32,-0.02,[Fe/H],-1.963,7.1,15.8095
588,588,GJ 3929 c,GJ 3929,1,1,2,Published Confirmed,0,15.04,0.081,,,5.71,Msini,0.0,317.0,3384.0,0.32,-0.02,[Fe/H],-1.963,7.1,15.8095
591,591,GJ 3998 b,GJ 3998,1,1,2,Published Confirmed,0,2.64977,0.029,,,2.47,Msini,0.0,,3722.0,0.49,-0.16,[Fe/H],-1.387,,18.1459
643,643,GJ 581 b,GJ 581,0,1,3,Published Confirmed,0,5.366,0.041,,,16.6,Msini,0.0,,,0.29,-0.25,[Fe/H],-1.886,2.0,6.2981
644,644,GJ 581 b,GJ 581,0,1,3,Published Confirmed,0,5.36874,0.04,,,15.65,Msini,0.0,,,,,,,,6.2981
646,646,GJ 581 b,GJ 581,1,1,3,Published Confirmed,0,5.3686,0.04061,,,15.8,Msini,0.0,,3396.0,0.33,,,-1.885,,6.2981
647,647,GJ 581 b,GJ 581,0,1,3,Published Confirmed,0,5.36841,0.040616,,,15.6,Msini,0.0,,,0.29,,,-1.886,4.3,6.2981
650,650,GJ 581 c,GJ 581,1,1,3,Published Confirmed,0,12.914,0.0721,,,5.5,Msini,0.0,,3396.0,0.33,,,-1.885,,6.2981
652,652,GJ 581 c,GJ 581,0,1,3,Published Confirmed,0,12.9191,0.072993,,,5.6,Msini,0.0,,,0.29,,,-1.886,4.3,6.2981
653,653,GJ 581 e,GJ 581,1,1,3,Published Confirmed,0,3.149,0.02815,,,1.7,Msini,0.0,,3396.0,0.33,,,-1.885,,6.2981
654,654,GJ 581 e,GJ 581,0,1,3,Published Confirmed,0,3.14942,0.03,,,1.94,Msini,0.0,,,,,,,,6.2981
655,655,GJ 581 e,GJ 581,0,1,3,Published Confirmed,0,3.14867,0.028453,,,1.7,Msini,0.0,,,0.29,,,-1.886,4.3,6.2981
688,688,GJ 685 b,GJ 685,1,1,1,Published Confirmed,0,24.16,0.1344,,,9.0,Msini,0.0,,3816.0,0.54,-0.15,[Fe/H],-1.253,,14.3155
730,730,GJ 876 d,GJ 876,0,1,4,Published Confirmed,0,1.93774,0.020807,,7.53,7.53,Mass,0.0,,3271.0,0.35,,,-1.893,,4.67517
735,735,GJ 887 b,GJ 887,1,1,2,Published Confirmed,0,9.262,0.068,,,4.2,Msini,0.0,468.0,3688.0,0.47,-0.06,[Fe/H],-1.434,2.88,3.29
747,747,GJ 9827 b,GJ 9827,0,1,3,Published Confirmed,0,1.2089819,0.0188,1.577,4.91,4.91,Mass,0.0,,4340.0,0.6,-0.26,[m/H],,10.0,29.661
753,753,GJ 9827 c,GJ 9827,0,1,3,Published Confirmed,0,3.6480957,0.03925,1.241,0.84,0.84,Mass,0.0,,4340.0,0.6,-0.26,[m/H],,10.0,29.661
755,755,GJ 9827 d,GJ 9827,0,1,3,Published Confirmed,0,6.2014698,0.05591,2.022,4.04,4.04,Mass,0.0,,4340.0,0.6,-0.26,[m/H],,10.0,29.661
761,761,GPX-1 b,GPX-1,1,1,1,Published Confirmed,0,1.744579,0.0338,16.477,6261.21962,6261.21962,Mass,0.0,2300.0,7000.0,1.56,0.35,[Fe/H],0.727,0.27,655.013
775,775,Gl 686 b,Gl 686,0,1,1,Published Confirmed,0,15.53209,0.091,,,7.1,Msini,0.0,379.0,3663.0,0.42,-0.3,[Fe/H],-1.553,,8.15728
780,780,HAT-P-1 b,HAT-P-1,0,2,1,Published Confirmed,0,4.4652934,,13.731,166.536,166.536,Mass,0.0,,,1.11,,,,,158.979
787,787,HAT-P-1 b,HAT-P-1,0,2,1,Published Confirmed,0,4.4652934,0.0551,,,169.72122,Msini,0.0,,6067.0,1.15,,,0.18,3.6,158.979
788,788,HAT-P-1 b,HAT-P-1,0,2,1,Published Confirmed,0,4.4652968,0.05561,14.785,168.13207,168.13207,Mass,0.0,1322.0,5980.0,,0.13,[Fe/H],,,158.979
789,789,HAT-P-1 b,HAT-P-1,0,2,1,Published Confirmed,0,4.46529,0.0551,15.244,168.4499,168.4499,Mass,0.0,,5975.0,1.15,0.13,[Fe/H],0.18,3.6,158.979
791,791,HAT-P-11 b,HAT-P-11,0,1,2,Kepler Project Candidate (q1_q17_dr25_koi),0,4.88780308,0.053,4.82,,,,0.0,800.0,4778.0,0.76,0.32,[Fe/H],,,37.7647
795,795,HAT-P-11 b,HAT-P-11,0,1,2,Kepler Project Candidate (q1_q17_dr24_koi),0,4.88780271,0.053,4.84,,,,0.0,801.0,4777.0,0.77,0.32,[Fe/H],,,37.7647
796,796,HAT-P-11 b,HAT-P-11,0,1,2,Kepler Project Candidate (q1_q16_koi),0,4.88780271,0.053,4.84,,,,0.0,801.0,4777.0,0.77,0.32,[Fe/H],,,37.7647
807,807,HAT-P-11 b,HAT-P-11,0,1,2,Kepler Project Candidate (q1_q8_koi),0,4.88780026,0.052,4.68,,,,0.0,794.0,4766.0,0.74,,,,9.0,37.7647
808,808,HAT-P-11 b,HAT-P-11,0,1,2,Kepler Project Candidate (q1_q12_koi),0,4.88780271,0.053,4.84,,,,0.0,801.0,4777.0,0.77,0.32,[Fe/H],,,37.7647
811,811,HAT-P-12 b,HAT-P-12,0,1,1,Published Confirmed,0,3.2130589,,,,,,0.0,,4650.0,,-0.29,[Fe/H],,,142.751
812,812,HAT-P-12 b,HAT-P-12,0,1,1,Published Confirmed,0,3.2130589,0.03837,,,66.10864,Msini,0.0,,4559.0,0.7,-0.3,[Fe/H],-0.68,2.5,142.751
813,813,HAT-P-12 b,HAT-P-12,0,1,1,Published Confirmed,0,3.2130579,,10.637,67.06213,67.06213,Mass,0.0,975.0,4650.0,0.7,-0.29,[Fe/H],,,142.751
819,819,HAT-P-12 b,HAT-P-12,1,1,1,Published Confirmed,0,3.2130598,0.0384,10.749,67.059,67.059,Mass,0.0,963.0,4650.0,0.7,-0.29,[Fe/H],-0.678,2.5,142.751
909,909,HAT-P-20 b,HAT-P-20,0,1,1,Published Confirmed,0,2.9,0.036,9.75,2320.1,2320.1,Mass,0.0,950.0,4600.0,,,,,0.8,71.0374
934,934,HAT-P-23 b,HAT-P-23,0,1,1,Published Confirmed,0,1.21288287,0.02302,13.72,658.0,658.0,Mass,0.0,1951.0,5885.0,1.09,0.13,[Fe/H],,2.1,364.813
969,969,HAT-P-27 b,HAT-P-27,1,2,1,Published Confirmed,0,3.039577,0.04,11.43,197.05,197.05,Mass,0.0,,5316.0,0.86,0.3,[M/H],-0.269,,199.173
987,987,HAT-P-3 b,HAT-P-3,0,2,1,Published Confirmed,0,2.899703,0.03894,9.976,190.38017,190.38017,Mass,0.0,,5185.0,0.82,0.27,[Fe/H],-0.355,0.4,134.554
991,991,HAT-P-3 b,HAT-P-3,1,2,1,Published Confirmed,0,2.8997,,10.536,206.5895,206.5895,Mass,0.0,,5185.0,0.87,0.27,[Fe/H],,,134.554
992,992,HAT-P-3 b,HAT-P-3,0,2,1,Published Confirmed,0,2.899736,0.03871,,,187.83753,Msini,0.0,,5084.0,0.8,0.27,[Fe/H],-0.36,1.6,134.554
997,997,HAT-P-3 b,HAT-P-3,0,2,1,Published Confirmed,0,2.899736,0.03866,9.27,187.83,187.83,Mass,0.0,,5185.0,0.8,0.27,[Fe/H],-0.362,1.6,134.554
1014,1014,HAT-P-32 b,HAT-P-32,0,2,1,Published Confirmed,0,2.150008,,,,,,0.0,,6269.0,,-0.04,[Fe/H],,,289.205
1015,1015,HAT-P-32 b,HAT-P-32,0,2,1,Published Confirmed,0,2.15001,,19.616,263.7989,263.7989,Mass,0.0,,6207.0,1.19,-0.04,[Fe/H],,,289.205
1018,1018,HAT-P-32 b,HAT-P-32,0,2,1,Published Confirmed,0,2.150008,0.0343,20.053,273.322,273.322,Mass,0.0,1786.0,6207.0,1.22,,,0.294,,289.205
1026,1026,HAT-P-33 b,HAT-P-33,1,2,1,Published Confirmed,0,3.47447,,20.737,292.4036,292.4036,Mass,0.0,,6446.0,1.79,0.05,[Fe/H],,,396.11
1028,1028,HAT-P-33 b,HAT-P-33,0,2,1,Published Confirmed,0,3.474474,0.0499,18.898,242.176,242.176,Mass,0.0,1782.0,6446.0,1.64,,,0.618,,396.11
1072,1072,HAT-P-39 b,HAT-P-39,1,2,1,Published Confirmed,0,3.54387,0.0509,17.609,190.372,190.372,Mass,0.0,1752.0,6430.0,1.62,,,0.607,,697.004
1075,1075,HAT-P-4 b,HAT-P-4,0,2,1,Published Confirmed,0,3.0565195,,15.323,176.71348,176.71348,Mass,0.0,,,1.62,,,,,320.451
1077,1077,HAT-P-4 b,HAT-P-4,1,2,1,Published Confirmed,0,3.056536,0.04438,14.28,213.255,213.255,Mass,0.0,1686.0,5860.0,,,,0.431,,320.451
1078,1078,HAT-P-4 b,HAT-P-4,0,2,1,Published Confirmed,0,3.0565114,,14.93,216.12,216.12,Mass,0.0,,,1.6,,,,,320.451
1079,1079,HAT-P-4 b,HAT-P-4,0,2,1,Published Confirmed,0,3.056536,0.0446,14.235,216.1244,216.1244,Mass,0.0,,5860.0,1.59,0.24,[Fe/H],0.428,4.2,320.451
1085,1085,HAT-P-40 b,HAT-P-40,1,1,1,Published Confirmed,0,4.45724,,17.038,152.5584,152.5584,Mass,0.0,,6080.0,1.94,0.22,[Fe/H],,,464.469
1090,1090,HAT-P-40 b,HAT-P-40,0,1,1,Published Confirmed,0,4.457243,0.0608,19.392,195.457,195.457,Mass,0.0,1770.0,6080.0,2.21,,,0.778,,464.469
1093,1093,HAT-P-41 b,HAT-P-41,1,2,1,Published Confirmed,0,2.69405,,22.978,378.2177,378.2177,Mass,0.0,,6390.0,2.05,0.21,[Fe/H],,,348.185
1096,1096,HAT-P-41 b,HAT-P-41,0,2,1,Published Confirmed,0,2.694047,0.0426,18.887,254.253,254.253,Mass,0.0,1941.0,6390.0,1.68,,,0.628,,348.185
1100,1100,HAT-P-42 b,HAT-P-42,1,1,1,Published Confirmed,0,4.641878,0.0575,14.348,331.801,331.801,Mass,0.0,1428.0,5743.0,1.53,0.27,[Fe/H],0.356,5.2,405.238
1105,1105,HAT-P-43 b,HAT-P-43,0,1,1,Published Confirmed,0,3.332687,0.0443,14.359,210.395,210.395,Mass,0.0,1361.0,5645.0,1.1,0.23,[Fe/H],0.045,5.7,528.825
1124,1124,HAT-P-49 b,HAT-P-49,0,1,1,Published Confirmed,0,2.691548,0.0438,15.838,549.823,549.823,Mass,0.0,2131.0,6820.0,1.83,0.074,[Fe/H],0.814,1.5,350.351
1125,1125,HAT-P-49 b,HAT-P-49,1,1,1,Published Confirmed,0,2.69155,,17.822,699.226,699.226,Mass,0.0,,6820.0,2.06,0.07,[Fe/H],,,350.351
1134,1134,HAT-P-5 b,HAT-P-5,0,1,1,Published Confirmed,0,2.788491,0.04075,14.12,336.89,336.89,Mass,0.0,,5960.0,1.17,0.24,[Fe/H],0.187,2.6,303.336
1136,1136,HAT-P-5 b,HAT-P-5,1,1,1,Published Confirmed,0,2.78849,,13.563,311.4734,311.4734,Mass,0.0,,5960.0,1.12,0.24,[Fe/H],,,303.336
1183,1183,HAT-P-57 b,HAT-P-57,0,3,1,Published Confirmed,0,2.465295,0.0406,15.838,587.9855,587.9855,Mass,0.0,2200.0,7500.0,1.5,-0.25,[Fe/H],0.806,1.0,279.86
1184,1184,HAT-P-57 b,HAT-P-57,1,3,1,Published Confirmed,0,2.4653,,19.504,448.1403,448.1403,Mass,0.0,,6330.0,1.85,-0.25,[Fe/H],,,279.86
1194,1194,HAT-P-6 b,HAT-P-6,1,1,1,Published Confirmed,0,3.85298,,16.589,419.5356,419.5356,Mass,0.0,,6570.0,1.62,-0.13,[Fe/H],,,275.358
1198,1198,HAT-P-6 b,HAT-P-6,0,1,1,Published Confirmed,0,3.852985,0.05235,14.908,335.932,335.932,Mass,0.0,,6570.0,1.46,-0.13,[Fe/H],0.553,2.3,275.358
1221,1221,HAT-P-67 b,HAT-P-67,1,2,1,Published Confirmed,0,4.8101025,0.06505,23.371,108.0622,108.0622,Mass,0.0,1903.0,6406.0,2.55,-0.08,[Fe/H],0.939,1.24,371.686
1226,1226,HAT-P-69 b,HAT-P-69,1,1,1,Published Confirmed,0,4.7869491,0.06555,18.786,1137.8314,1137.8314,Mass,0.0,1930.0,7394.0,1.93,-0.069,[Fe/H],1.0,1.27,341.263
1232,1232,HAT-P-7 b,HAT-P-7,0,2,1,Kepler Project Candidate (q1_q17_dr25_koi),0,2.20473542,0.0376,16.1,,,,0.0,2048.0,6440.0,1.95,0.14,[Fe/H],,,341.079
1234,1234,HAT-P-7 b,HAT-P-7,1,2,1,Published Confirmed,0,2.20474,,16.926,584.8072,584.8072,Mass,0.0,,6389.0,2.0,0.26,[Fe/H],,,341.079
1235,1235,HAT-P-7 b,HAT-P-7,0,2,1,Kepler Project Candidate (q1_q16_koi),0,2.20473536,0.0381,16.39,,,,0.0,2025.0,6350.0,1.99,0.26,[Fe/H],,,341.079
1238,1238,HAT-P-7 b,HAT-P-7,0,2,1,Kepler Project Candidate (q1_q8_koi),0,2.20473537,0.039,22.3,,,,0.0,2303.0,6264.0,2.71,,,,1.98,341.079
1241,1241,HAT-P-7 b,HAT-P-7,0,2,1,Kepler Project Candidate (q1_q17_dr24_koi),0,2.20473536,0.0381,16.39,,,,0.0,2025.0,6350.0,1.99,0.26,[Fe/H],,,341.079
1243,1243,HAT-P-7 b,HAT-P-7,0,2,1,Published Confirmed,0,2.204737,0.0377,15.043,564.442,564.442,Mass,0.0,2733.0,6532.23,1.99,0.233,[M/H],0.814,,341.079
1248,1248,HAT-P-7 b,HAT-P-7,0,2,1,Published Confirmed,0,2.2047354,0.0355,15.906,566.05523,566.05523,Mass,0.0,2200.0,6350.0,1.84,0.26,[Fe/H],,,341.079
1249,1249,HAT-P-7 b,HAT-P-7,0,2,1,Kepler Project Candidate (q1_q12_koi),0,2.20473536,0.0381,16.39,,,,0.0,2025.0,6350.0,1.99,0.26,[Fe/H],,,341.079
1252,1252,HAT-P-70 b,HAT-P-70,1,1,1,Published Confirmed,0,2.74432452,0.04739,20.961,2154.8874,2154.8874,Mass,0.0,2562.0,8450.0,1.86,-0.059,[Fe/H],1.223,0.6,330.739
1255,1255,HAT-P-8 b,HAT-P-8,0,3,1,Published Confirmed,0,3.0763776,0.0487,16.81,483.08,483.08,Mass,0.0,1700.0,6200.0,1.58,,,0.519,,211.553
1256,1256,HAT-P-8 b,HAT-P-8,0,3,1,Published Confirmed,0,3.0763373,0.0449,,483.1016,483.1016,Mass,0.0,,6200.0,,,,,,211.553
1259,1259,HAT-P-8 b,HAT-P-8,1,3,1,Published Confirmed,0,3.07634,,15.693,406.8224,406.8224,Mass,0.0,,6200.0,1.57,0.01,[Fe/H],,,211.553
1264,1264,HAT-P-9 b,HAT-P-9,0,1,1,Published Confirmed,0,3.92289,0.053,15.69,247.9,247.9,Mass,0.0,1530.0,6350.0,1.32,,,0.41,,455.203
1303,1303,HATS-16 b,HATS-16,1,1,1,Published Confirmed,0,2.686502,0.03744,14.572,1039.3041,1039.3041,Mass,0.0,1592.0,5738.0,1.24,-0.1,[Fe/H],0.173,9.5,757.044
1318,1318,HATS-2 b,HATS-2,1,1,1,Published Confirmed,0,1.354133,0.023,13.092,427.463,427.463,Mass,0.0,1577.0,5227.0,0.9,0.15,[Fe/H],-0.268,9.7,341.925
1333,1333,HATS-24 b,HATS-24,1,1,1,Published Confirmed,0,1.3484978,0.0238,15.637,718.2958,718.2958,Mass,0.0,2166.0,6125.0,1.12,-0.229,[Fe/H],0.19,3.7,494.182
1355,1355,HATS-3 b,HATS-3,0,1,1,Published Confirmed,0,3.54785,,11.097,174.8065,174.8065,Mass,0.0,,6351.0,1.0,-0.16,[Fe/H],,,411.211
1359,1359,HATS-3 b,HATS-3,1,1,1,Published Confirmed,0,3.547851,0.0485,15.48,340.382,340.382,Mass,0.0,1648.0,6351.0,1.4,-0.157,[Fe/H],0.456,3.2,411.211
1360,1360,HATS-3 b,HATS-3,0,1,1,Published Confirmed,0,3.547851,0.0485,15.48,340.39593,340.39593,Mass,0.0,,6351.0,1.4,,,,3.2,411.211
1387,1387,HATS-37 A b,HATS-37 A,1,2,1,Published Confirmed,0,4.3315366,0.04913,6.793,31.46517,31.46517,Mass,0.0,1085.0,5326.0,0.88,0.051,[Fe/H],-0.256,11.46,211.896
1390,1390,HATS-38 b,HATS-38,1,1,1,Published Confirmed,0,4.375021,0.05036,6.882,23.51942,23.51942,Mass,0.0,1294.0,5732.0,1.1,-0.102,[Fe/H],0.072,11.89,343.525
